DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
2,0,5,581.5217,byplayer,0,6,19,1,1,160.82053,DAY_Flash,account.3f091c23d4d741b5abb41c718e771443,0,4499.803,0,0.0,0,1786,0,1191.7744,2,3,DAY,18
3,1,3,420.71426,byplayer,0,2,4,1,4,61.4212,DAY_Nourinz,account.0dc5f22f70dd4adbaa5dc2cffb8ddadf,0,5442.118,0,0.0,0,1866,1,1461.6608,4,3,DAY,18
0,0,7,148.32326,byplayer,1,2,21,1,1,33.086098,GEX_Yuri,account.037ab136a3334b17877d7bdfd3791e39,0,8244.188,0,0.0,0,1698,1,1113.3342,3,4,GEX,18
4,2,5,571.8384,byplayer,2,4,11,1,2,116.471886,GEX_Savior,account.d393cca364324bf49f99b192233270a9,0,7158.642,0,0.0,0,1819,0,1455.7412,4,4,GEX,18
1,1,7,133.72195,byplayer,1,0,20,1,1,142.1072,GEX_ZhenNan,account.843901cabc574c0a8d4625512dfa1dd6,1,7361.179,0,0.0,0,1733,0,1557.1929,5,4,GEX,18
0,0,1,185.89056,byplayer,0,1,34,0,0,0.0,GEX_Leo,account.3404427ff3df4101bc531e3ba641ef2b,0,8540.839,0,0.0,0,1339,0,880.081,3,4,GEX,18
2,0,9,450.86032,byplayer,0,9,2,2,5,124.6546,CES_Taikonn,account.e4448411e6834f8fa7c699b8232d7439,0,7127.95,0,0.0,0,1633,0,1085.4591,5,5,CES,18
3,1,7,270.9489,byplayer,0,17,6,2,3,82.73247,CES_YmCud,account.d445b77990f9489598345f45cdbc641a,1,7762.0938,0,0.0,0,1529,0,1057.4697,5,5,CES,18
0,1,4,0.0,byplayer,0,8,35,0,0,0.0,CES_HaiSaki,account.8496c2aff411400e9416de04e58a46ca,1,7590.7944,0,0.0,0,1048,0,867.331,6,5,CES,18
0,0,4,19.8,byplayer,0,4,36,0,0,0.0,CES_Himass,account.4ffff11c3238473fb8c0baa5bb40c485,0,5034.103,0,0.0,0,721,0,694.8033,5,5,CES,18
0,0,2,51.668682,byplayer,0,3,22,1,1,3.6223192,HOWL_TheMad,account.fc095ae8338943fabe153d91907d1c1d,1,1381.0557,0,0.0,0,1485,0,610.32275,4,6,HOWL,18
0,0,1,0.0,byplayer,0,0,37,0,0,0.0,HOWL_Apocalyp,account.54565e6a843841be8fbe5547c57a81f8,0,1088.4214,0,0.0,0,852,0,610.4712,5,6,HOWL,18
3,2,4,485.70938,byplayer,1,1,12,1,2,110.394455,HOWL_scof1eld,account.f7a2f1e59b6c43f884ce19943fc12819,0,1821.259,0,0.0,0,1488,0,581.4778,4,6,HOWL,18
4,1,8,242.50194,byplayer,2,4,7,1,3,104.91165,HOWL_RuerN,account.b0a71b8056504b60ab462622d2c79bf8,0,1703.8895,0,0.0,0,1602,1,890.5675,3,6,HOWL,18
1,1,3,157.78055,byplayer,0,2,39,0,0,0.0,GEN_DG98,account.51acc0b4fb57431abc2f97d2b1e6fb1a,1,2397.2217,0,0.0,0,1498,0,875.1658,6,7,GEN,18
0,0,10,343.07013,byplayer,1,9,23,1,1,18.921423,GEN_Pio,account.366c8e5509254daba28a69843b9be2cd,0,6284.1323,0,0.0,0,1546,0,1024.493,7,7,GEN,18
0,0,2,24.884998,byplayer,0,8,40,0,0,0.0,GEN_taemin,account.7f90cd3e901e432998718d5b5bd27411,0,6281.4155,0,0.0,0,1139,0,793.60583,4,7,GEN,18
0,0,5,171.46864,byplayer,0,1,38,0,0,0.0,GEN_Foxy,account.3026e1bd07ac4705b61be87b61a18219,2,3120.4702,0,0.0,0,1509,0,979.0825,8,7,GEN,18
0,0,5,21.6144,byplayer,0,3,43,0,0,0.0,17_SuJiu,account.44594e7e0e2c4ada8ac33dd6915a99f4,0,4625.0254,0,0.0,0,1276,0,990.8504,4,8,17,18
1,0,2,100.0,byplayer,1,2,24,1,1,204.72617,17_Xbei,account.549de777514e4054876ab0a1eb9efbed,0,3970.702,0,0.0,0,1279,0,985.3569,4,8,17,18
1,1,6,304.38162,byplayer,0,2,41,0,0,0.0,17_Lilghost,account.5633df10ee6e492b9df5637b8fc17eca,0,3643.069,0,0.0,0,1504,1,1063.7068,2,8,17,18
0,0,3,0.0,byplayer,0,1,42,0,0,0.0,17_xwudd,account.dde84a96e8f94e2ab23d9c07be8a86ab,0,3452.8523,0,0.0,0,1366,0,737.21185,4,8,17,18
1,1,5,210.9692,byplayer,0,1,46,0,0,0.0,GBL_Heaven,account.ee9d73b90b2a4c428f2b5e924e207256,1,3067.4456,0,0.0,0,1440,0,1952.87,5,9,GBL,18
0,0,8,26.22311,byplayer,0,2,45,0,0,0.0,GBL_Gyumin,account.03e41409ae09412797a7fb2664f61aba,0,3636.2354,0,0.0,0,1440,0,2192.3474,5,9,GBL,18
2,0,5,359.17905,byplayer,1,6,13,2,2,84.47897,GBL_Glaz,account.810bde92bdeb4ee4a79f002e608c9e91,1,3355.2253,0,0.0,0,1440,0,1332.7035,8,9,GBL,18
0,0,3,101.90124,byplayer,0,1,44,0,0,0.0,GBL_Tosi,account.6de5f92988114abe9586d352379abff1,1,3296.0972,0,0.0,0,1440,0,1429.3252,6,9,GBL,18
2,2,3,445.89844,byplayer,0,1,15,1,2,50.59352,PeRo_Myl,account.b7951d07c465448580d9c1d3cd1c69d5,0,3904.5098,0,0.0,0,1305,0,1612.934,4,10,PeRo,18
0,0,2,152.12515,byplayer,0,1,25,1,1,7.226142,PeRo_AZ,account.3ca5572589c3497b9c160803d9e7a4c5,2,3212.637,0,0.0,0,1228,0,1453.3356,4,10,PeRo,18
0,0,5,226.9093,byplayer,1,3,14,1,2,230.76642,PeRo_Aixleft,account.24769a9dcb914df498d9d3232445825d,0,4658.009,0,0.0,0,1308,0,1253.4265,5,10,PeRo,18
5,1,2,569.7542,byplayer,2,3,5,2,4,285.6745,PeRo_Cui71,account.7fd167510408462eac65c6078b4ab56a,1,3397.7998,0,0.0,0,1305,0,1365.1648,8,10,PeRo,18
0,0,6,61.407337,byplayer,0,3,49,0,0,0.0,ACE_Myca,account.de3fe5283bc247d48858c5bd8d421fed,0,3412.8435,0,0.0,0,1299,0,1214.7897,10,11,ACE,18
0,0,4,43.559998,byplayer,0,0,48,0,0,0.0,ACE_KILYAKAi,account.41ee0ac1a4594cd492f483b883f5550c,0,2757.0156,0,0.0,0,1299,0,1290.6497,7,11,ACE,18
0,0,1,75.53503,byplayer,0,2,50,0,0,0.0,ACE_ItzzChrizZ,account.71a764ef3f34482ea0714d600f1e16aa,0,1261.1133,0,0.0,0,1257,0,1863.0172,3,11,ACE,18
0,0,2,26.6,byplayer,0,0,47,0,0,0.0,ACE_braex,account.6b01b6bd56f74e74b624ce38f085f6bf,0,4178.028,0,0.0,0,1299,0,1053.4294,3,11,ACE,18
3,0,1,150.12257,byplayer,1,1,8,1,3,105.56309,FaZe_jeemzz,account.15691688b1904e0cbccf12f2611ea0f9,0,2040.5045,0,0.0,0,993,0,535.92334,4,12,FaZe,18
0,0,2,257.344,suicide,1,4,16,1,2,227.30176,FaZe_Fexx,account.f947272098ec4105ac966edc1def9b9c,0,596.4049,0,0.0,0,1271,0,1309.6807,4,12,FaZe,18
1,2,5,320.04767,byzone,0,3,26,1,1,108.92564,FaZe_curexi,account.5f99354b446842ceacf763047aa7fae1,0,622.5148,0,0.0,0,1271,0,1131.5835,2,12,FaZe,18
1,2,2,117.8674,byplayer,0,1,51,0,0,0.0,FaZe_Gustav,account.6ed841a1b96d462b8f86fc518c3bca7d,0,1523.353,0,0.0,0,992,0,712.94104,3,12,FaZe,18
0,0,1,45.97727,byplayer,0,1,54,0,0,0.0,III_oldless,account.8a872abdcf31479fab147b8ba5c3587f,0,1493.1323,0,0.0,0,1170,0,969.16,3,13,III,18
0,0,3,0.0,byplayer,0,3,52,0,0,0.0,III_Vox,account.9bd80c5a7c4e488fa9cb740b853c2ab4,0,1307.2504,0,0.0,0,1170,0,1211.381,2,13,III,18
1,0,0,120.933525,byplayer,0,0,53,0,0,0.0,III_RichyB,account.a74469f29c67416e8022d6de7d9af76b,0,2038.7379,0,0.0,0,1170,0,652.90454,4,13,III,18
