DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
4,4,1,481.0993,alive,2,0,4,2,3,133.37726,NH_MMing,account.05f030c9b4ac4146bab9fbf829c9eed5,0,1472.4644,0,0.0,0,1616,1,1042.0654,4,1,NH,1
0,1,2,198.22818,alive,0,1,30,0,0,0.0,NH_Nannnnn,account.e8d048cf9cbb4ca0a191276930e71970,0,1346.7507,0,0.0,0,1616,1,1469.732,6,1,NH,1
2,2,1,608.1388,alive,1,0,1,1,4,237.63693,NH_HSmm,account.b269629011a54dd19d997d95cb5e6a65,0,2176.4988,0,0.0,0,1616,0,1322.7083,6,1,NH,1
3,2,2,396.72998,alive,0,1,10,2,2,90.95329,NH_ZpYan1,account.4e1741c5668b4deb86011b191ca78da5,1,1011.37256,0,0.0,0,1616,1,1419.9225,7,1,NH,1
1,1,6,491.14325,byplayer,2,6,2,2,4,313.90103,OP_jeemzz,account.34f0204fbfd64ad6a93553ad7787baa9,0,3117.3132,0,0.0,0,1616,0,1422.6665,2,2,OP,1
3,0,2,211.1285,byplayer,0,1,16,1,1,6.5347185,OP_clib,account.17a15fa2fc0b4d76b5d78fa252c6345f,0,2933.9038,0,0.0,0,1443,0,1478.616,3,2,OP,1
1,0,2,239.81909,byplayer,0,0,11,1,2,56.545624,OP_mxey,account.254d07ded40449b9a66e87ab0eb8bd95,0,3023.9153,0,0.0,0,1449,0,1630.6282,7,2,OP,1
0,1,1,217.93521,byplayer,0,0,17,1,1,266.1061,OP_vard,account.b0a229b01e3a480dab776f28f49bc3dc,0,2936.5706,0,0.0,0,1420,0,2083.0078,2,2,OP,1
0,0,2,0.0,byplayer,0,1,32,0,0,0.0,EIQ_ivas,account.1b87f3e5b54442338150273dac06eb56,0,4910.748,0,0.0,0,864,0,479.5063,3,3,EIQ,1
2,1,7,141.33002,suicide,1,4,5,2,3,32.229477,EIQ_Qbe,account.6c9aa409697f47258585e4a3bd5c5736,2,5700.916,0,0.0,1,1612,1,1333.6445,2,3,EIQ,1
2,3,8,375.87006,byplayer,0,9,18,1,1,295.08588,EIQ_Lukarux,account.1e070fd0fe1e436f8587b06eb158a523,1,4254.4907,0,0.0,0,1612,1,1403.2488,3,3,EIQ,1
0,1,1,40.59,byplayer,0,4,31,0,0,0.0,EIQ_Naylup,account.a245f2c73e78494697c94e697d70fdf3,0,4201.1304,0,0.0,0,874,0,944.71313,4,3,EIQ,1
0,0,4,246.32584,byplayer,0,4,34,0,0,0.0,BGP_Seongjang,account.fc04bea8e8b44e30a7b43549ed26d625,0,6821.5825,0,0.0,0,1360,0,988.62415,4,4,BGP,1
0,0,5,190.44888,byplayer,0,4,33,0,0,0.0,BGP_2heart,account.18d7436f0708443596846fbd089335d6,1,7243.8057,0,0.0,0,1368,0,914.26154,4,4,BGP,1
2,0,6,196.66312,byzone,2,9,6,1,3,344.26508,BGP_DG98,account.551ccde57dd14989aaab13d1d4f9af23,0,7837.8423,0,0.0,0,1500,0,1109.6089,7,4,BGP,1
1,1,6,113.77177,byzone,0,3,19,1,1,707.7645,BGP_Pio,account.af4ebf5cee8544fdac7e565802f61d9c,0,6412.8013,0,0.0,0,1303,0,1047.3933,5,4,BGP,1
0,0,3,269.9337,byplayer,0,1,35,0,0,0.0,DNW_seoul,account.5f5bf0cda5ce4b2f8d62dc6e809b0e67,2,1044.547,0,0.0,0,1425,1,1504.3336,2,5,DNW,1
3,0,1,259.1268,byplayer,0,2,3,2,4,42.650055,DNW_HelleN,account.b4a29536bdc14ccfa0074ebeed6a1eb3,1,2430.7983,0,0.0,1,1486,1,1312.6195,4,5,DNW,1
0,1,2,131.30228,byplayer,0,0,36,0,0,0.0,DNW_Salute,account.1984871ad77a43a0b8640ab369f85ad9,0,298.12317,0,0.0,0,1306,0,1026.0742,5,5,DNW,1
0,1,1,0.0,byplayer,0,1,20,1,1,3.966992,DNW_Lambu,account.c83b18ffa1cc45b79b36e4d89ce027da,0,2054.3225,0,0.0,0,1486,0,1469.0211,7,5,DNW,1
4,1,2,299.76764,byplayer,1,2,12,2,2,127.78203,NAVI_xmpl,account.94686ebb1f3346288e767acfbefe65bc,0,3635.4832,0,0.0,0,1444,0,1882.9559,4,6,NAVI,1
1,0,3,63.894417,byplayer,0,0,13,2,2,55.811523,NAVI_Mell,account.f8b1ee790de942c18a4ed6656681ff11,0,4421.5234,0,0.0,0,1110,0,1544.2021,5,6,NAVI,1
0,2,2,126.94214,byplayer,0,1,37,0,0,0.0,NAVI_alya,account.e727d6cb5fc94c73a8b02a930d842749,0,4114.4033,0,0.0,0,1129,0,2011.1047,5,6,NAVI,1
3,2,2,329.9451,byplayer,0,1,7,1,3,269.76126,NAVI_ubah,account.1e80e980e0e745d482ec1a97a1a3766f,0,3964.4287,0,0.0,0,1136,0,1846.1351,2,6,NAVI,1
0,1,2,410.86343,byplayer,0,2,14,1,2,297.46835,22_guizeera,account.fc06dbc86d4e4cd89b697f458c307493,0,2485.9255,0,0.0,0,1405,0,1328.9554,4,7,22,1
0,0,0,0.0,byplayer,0,1,39,0,0,0.0,22_v1n1,account.7404425d67ba440ead6f50ef6b2f8fa7,0,2288.5093,0,0.0,0,699,0,659.36804,5,7,22,1
0,0,0,0.0,byplayer,0,0,40,0,0,0.0,22_Haven,account.7fb5d433762a4b47b28f0c74e358badd,0,0.0,0,0.0,0,146,0,201.95045,1,7,22,1
2,2,3,254.04486,byplayer,0,0,38,0,0,0.0,22_HazeteN,account.daed02e7b9c74c8ca3f01937fd93e2c4,0,3815.1921,0,0.0,0,1405,0,739.53265,5,7,22,1
2,2,7,493.95667,byplayer,0,3,15,1,2,354.93192,GEX_ZhenNan,account.a94b16f6070a4b7ba05868e03c55ba28,0,4528.947,0,0.0,0,1358,2,802.8141,4,8,GEX,1
0,0,3,54.255013,byplayer,0,1,41,0,0,0.0,GEX_YanLi,account.cd46f6c996be4b8aa8ea65d3fcc47a2c,0,3340.4026,0,0.0,0,1358,0,1161.2844,4,8,GEX,1
0,1,3,258.60553,byplayer,0,6,42,0,0,0.0,GEX_Savior,account.818e200882374fe39d9cc1b2dbba0578,0,3073.652,0,0.0,0,1337,0,1062.7139,10,8,GEX,1
1,0,2,41.6157,byplayer,1,0,21,1,1,63.73102,GEX_SSR,account.e0ea879965d847058f2272ea359e70b2,0,4944.31,0,0.0,0,1357,0,1117.1686,5,8,GEX,1
4,1,7,246.87622,byplayer,0,6,8,2,3,159.32323,TWIS_Lu,account.cd98427215a64216a09aa88eb9518463,0,1260.8877,0,0.0,0,1320,0,1593.043,3,9,TWIS,1
0,1,5,168.30995,byplayer,0,1,23,1,1,43.440975,TWIS_BatulinS,account.4b793484904c42e9811a033ab8d58a07,0,1050.6598,0,0.0,0,1314,0,1259.5609,3,9,TWIS,1
0,1,2,76.29938,byplayer,0,0,43,0,0,0.0,TWIS_Perfect1ks,account.58021bdf9f8447a6991f8f4267f9272e,0,952.38446,0,0.0,0,846,0,970.0739,5,9,TWIS,1
2,4,3,371.2391,byplayer,0,2,22,1,1,48.421402,TWIS_spyrro,account.7a8cb4e92b104e36b6f0ccd84ae617fc,0,2045.3378,0,0.0,0,1320,1,1285.2659,3,9,TWIS,1
1,0,1,56.035194,byplayer,0,4,44,0,0,0.0,Tian_9,account.349363776e6a45a4b6ed12be42e369ca,0,6168.946,0,0.0,1,1282,0,1176.4669,4,10,Tian,1
1,0,3,100.0,byplayer,1,1,24,1,1,67.000885,Tian_77,account.ea7a7adeb7f146c691044b541d09c984,1,6763.6177,0,0.0,0,1282,0,741.56274,3,10,Tian,1
0,0,0,49.07195,byplayer,0,1,46,0,0,0.0,Tian_Tang,account.e08918c479274c4e8a37da9b1dfa0f88,0,6728.1206,0,0.0,0,1253,0,1140.7777,4,10,Tian,1
1,0,4,157.75314,byplayer,0,4,45,0,0,0.0,Tian_Cui71,account.e362f22b329942e782d5b36c81dbd256,0,5896.426,0,0.0,0,1282,0,1132.1301,4,10,Tian,1
0,0,3,109.32047,byplayer,0,0,47,0,0,0.0,KDF_Hikari,account.3ad6285c17524bb1a19f58086135df49,0,7942.7764,0,0.0,0,1202,0,1219.735,5,11,KDF,1
0,0,1,0.0,byplayer,0,0,50,0,0,0.0,KDF_Akad,account.cd753efe68ff41a580e33b9680cc3552,0,1524.4631,0,0.0,0,408,0,287.9338,2,11,KDF,1
1,0,4,99.99999,byplayer,0,1,49,0,0,0.0,KDF_LashK,account.546ad9482fb247a185906f98b773fcbf,0,8678.294,0,0.0,0,1202,0,842.3332,5,11,KDF,1
0,0,1,92.47159,byplayer,0,0,48,0,0,0.0,KDF_EEND,account.736984c7a1234cf1884a2e5ce2cc625f,0,8148.364,0,0.0,0,1202,0,947.2441,6,11,KDF,1
0,0,1,0.0,byplayer,0,0,53,0,0,0.0,T5_RangerX,account.91a99cc95da940c6a431168fe93ce350,0,3879.456,0,0.0,0,855,0,527.9877,4,12,T5,1
0,0,0,0.0,byplayer,0,0,52,0,0,0.0,T5_RossitedJR,account.a340fd345f7440acaaa4499ff4b05fc0,0,2860.6628,0,0.0,0,856,0,381.1296,6,12,T5,1
0,0,3,23.58951,byplayer,0,3,51,0,0,0.0,T5_Pathompong,account.6784f447ca684c5fbd0946e9d7f48879,0,3564.2007,0,0.0,0,1200,0,719.7246,7,12,T5,1
0,0,4,0.0,byplayer,0,0,54,0,0,0.0,T5_Excrozit,account.ad7bd03da780439cac19cb11bba33265,0,2747.0635,0,0.0,0,852,0,640.26373,4,12,T5,1
1,2,3,194.82446,byplayer,1,3,25,1,1,69.06286,SQ_hwinn,account.c2666a64a02b4ccb99ec671c672d722c,0,3245.748,0,0.0,0,1106,0,1055.4899,6,13,SQ,1
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,SQ_TGLTN,account.5dd0957584e9439996c8970ff5d8e465,0,0.0,0,0.0,0,89,0,2.01375,0,13,SQ,1
2,1,3,329.90356,byplayer,0,8,9,1,3,69.819305,SQ_M1ME,account.90dfc6b7bffa4208a5e170d728aaa96c,2,4369.3286,0,0.0,0,1071,0,1012.4861,7,13,SQ,1
2,1,6,302.60956,byplayer,0,5,26,1,1,5.949151,SQ_Shrimzy,account.6b78ae338da344bea26d6dd25188f95d,0,3376.5906,0,0.0,0,1106,0,1085.2479,9,13,SQ,1
0,0,3,175.3224,byplayer,0,0,59,0,0,0.0,CES_Himass,account.63a01db1cd0b4fbfb6db7a0d2cffa8ea,0,2254.6345,0,0.0,0,1096,0,1357.8822,4,14,CES,1
0,0,1,0.0,byplayer,0,1,56,0,0,0.0,CES_YmCud,account.dc0f644cf7e34fb7adf9fb0d92027e27,0,3845.3887,0,0.0,0,1098,0,947.9914,5,14,CES,1
0,0,3,237.53319,byplayer,0,1,58,0,0,0.0,CES_Taikonn,account.b8aecbc4f6494171ad142e6953e4a7d1,1,2139.0503,0,0.0,0,1098,0,1438.3667,4,14,CES,1
0,0,2,55.929916,byplayer,0,2,57,0,0,0.0,CES_HaiSaki,account.51b6c611c3074b92931900b75d6e8701,0,2709.3228,0,0.0,0,1098,0,2178.9148,4,14,CES,1
0,0,0,118.36623,byplayer,0,0,62,0,0,0.0,YAHO_sparkingg,account.c364e12996284e2abc48dc2605d5b866,0,2363.9548,0,0.0,0,880,0,636.3433,6,15,YAHO,1
1,0,3,154.04001,byplayer,0,1,60,0,0,0.0,YAHO_Shinboi,account.e5b21608084242098dcece399ba25321,0,2377.9934,0,0.0,0,961,0,999.5273,3,15,YAHO,1
1,0,1,135.9146,byplayer,1,0,27,1,1,7.96894,YAHO_Poonage,account.6a340d4178dd42beb623578d5855ea36,0,3477.9163,0,0.0,0,896,0,557.83527,7,15,YAHO,1
