match,attacker_name,hit_rate,damage,team
1,17_shou,7.228915662650602,303.1821060180664,17
1,17_Lilghost,9.236947791164658,685.4485111236572,17
1,17_SuJiu,9.13978494623656,355.30682945251465,17
1,17_xwudd,6.976744186046512,221.69099712371826,17
1,EIQ_ivas,10.843373493975903,156.4691276550293,EIQ
1,EIQ_Lukarux,6.122448979591836,169.80252265930176,EIQ
1,EIQ_Qbe,10.891089108910892,759.8324298858643,EIQ
1,EIQ_Naylup,11.347517730496454,784.1739645004272,EIQ
1,eU_Fludd,2.1052631578947367,93.24871635437012,eU
1,eU_Relo,10.687022900763358,247.83413314819336,eU
1,eU_Kickstart,10.909090909090908,434.27413749694824,eU
1,eU_Snakers,4.123711340206185,109.03336715698242,eU
1,FaZe_D1gg3r1,13.675213675213676,375.56860733032227,FaZe
1,FaZe_Fexx,10.526315789473683,343.6627140045166,FaZe
1,FaZe_Gustav,4.444444444444445,85.16999816894531,FaZe
1,FaZe_Aitzy,11.11111111111111,491.62035751342773,FaZe
1,OP_jeemzz,9.876543209876543,143.67914390563965,OP
1,OP_clib,12.162162162162163,354.4603462219238,OP
1,OP_mxey,5.714285714285714,0.0,OP
1,OP_vard,16.33986928104575,332.72049140930176,OP
1,NAVI_Mell,2.0202020202020203,43.04999923706055,NAVI
1,NAVI_alya,5.084745762711865,151.08092308044434,NAVI
1,NAVI_xmpl,9.70873786407767,378.67661476135254,NAVI
1,NAVI_ubah,9.395973154362416,227.2924041748047,NAVI
1,QM_DaNte,5.263157894736842,33.39139175415039,QM
1,QM_HoBBitEz,5.769230769230769,121.30773544311523,QM
1,QM_ADOUZ1E,9.35960591133005,528.7738094329834,QM
1,QM_F1lfirst,8.67579908675799,402.0489025115967,QM
1,YAHO_Poonage,11.11111111111111,138.83758163452148,YAHO
1,YAHO_Balefrost,8.333333333333332,61.162424087524414,YAHO
1,YAHO_Shinboi,9.900990099009901,330.1628894805908,YAHO
1,YAHO_sparkingg,14.000000000000002,149.96730995178223,YAHO
1,DAY_Nourinz,7.006369426751593,274.38445472717285,DAY
1,DAY_Belmoth,4.564315352697095,385.0149230957031,DAY
1,DAY_Flash,0.8849557522123894,0.0,DAY
1,DAY_PuuChiwz,11.607142857142858,323.76839447021484,DAY
1,KDF_EEND,10.483870967741936,332.9405117034912,KDF
1,KDF_Akad,5.325443786982249,304.9065055847168,KDF
1,KDF_Hikari,5.769230769230769,403.61553382873535,KDF
1,KDF_LashK,0.8771929824561403,17.957799911499023,KDF
1,TWIS_BatulinS,18.51851851851852,103.99509811401367,TWIS
1,TWIS_spyrro,12.5,118.03252601623535,TWIS
1,TWIS_Perfect1ks,8.88888888888889,188.93064308166504,TWIS
1,TWIS_Lu,6.8181818181818175,103.86140251159668,TWIS
1,TE_777,3.289473684210526,88.4801139831543,TE
1,TE_DuCkHjeUz,5.46875,145.05231094360352,TE
1,TE_Leviz,4.761904761904762,29.32061004638672,TE
1,TE_Smell,4.477611940298507,130.07930374145508,TE
1,WC_Ykikamucow,2.5316455696202533,122.14000129699707,WC
1,WC_Adam,13.0,153.66087532043457,WC
1,WC_GregShotGG,4.25531914893617,111.24515151977539,WC
1,WC_nicoos,2.2222222222222223,36.23387145996094,WC
1,CES_Sololzy,0.0,0.0,CES
1,CES_Taikonn,0.0,0.0,CES
1,CES_HaiSaki,0.0,0.0,CES
1,CES_Himass,0.0,0.0,CES
1,TMA_YUPPIE,3.488372093023256,100.0,TMA
1,TMA_LuLualways,8.771929824561402,151.51999855041504,TMA
1,TMA_CRAZY112,12.195121951219512,143.08459663391113,TMA
1,TMA_Xiaoha1xxxx,8.064516129032258,115.56896209716797,TMA
1,DNW_Lambu,9.375,87.41999816894531,DNW
1,DNW_Salute,12.0,100.0,DNW
1,DNW_seoul,8.333333333333332,53.57999801635742,DNW
1,DNW_HelleN,6.25,49.41720008850098,DNW
2,DAY_Belmoth,12.290502793296088,718.6379699707031,DAY
2,DAY_Flash,0.9009009009009009,28.06618881225586,DAY
2,DAY_PuuChiwz,10.0,580.5359973907471,DAY
2,DAY_Nourinz,17.894736842105264,626.0448055267334,DAY
2,NAVI_alya,12.755102040816327,597.7105798721313,NAVI
2,NAVI_ubah,12.751677852348994,523.7652721405029,NAVI
2,NAVI_xmpl,7.2992700729927,627.3500318527222,NAVI
2,NAVI_Mell,11.057692307692307,477.6499824523926,NAVI
2,EIQ_Lukarux,11.304347826086957,301.43391609191895,EIQ
2,EIQ_ivas,10.126582278481013,312.7713508605957,EIQ
2,EIQ_Qbe,8.108108108108109,19.507122039794922,EIQ
2,EIQ_Naylup,17.97752808988764,260.79295921325684,EIQ
2,CES_Sololzy,1.1363636363636365,37.15564727783203,CES
2,CES_Taikonn,17.543859649122805,199.63000679016113,CES
2,CES_HaiSaki,3.508771929824561,55.439998626708984,CES
2,CES_Himass,12.121212121212121,348.22818756103516,CES
2,17_shou,3.4482758620689653,26.91287612915039,17
2,17_SuJiu,11.538461538461538,104.74067306518555,17
2,17_xwudd,4.597701149425287,192.32994651794434,17
2,17_Lilghost,7.920792079207921,229.2125301361084,17
2,eU_Snakers,15.929203539823009,181.5538673400879,eU
2,eU_Relo,0.0,0.0,eU
2,eU_Fludd,15.625,351.22290802001953,eU
2,eU_Kickstart,13.461538461538462,273.59553718566895,eU
2,WC_Ykikamucow,15.748031496062993,250.122802734375,WC
2,WC_GregShotGG,14.150943396226415,267.8623275756836,WC
2,WC_Adam,16.901408450704224,230.10794639587402,WC
2,WC_nicoos,10.92436974789916,353.0471525192261,WC
2,DNW_Lambu,6.097560975609756,141.07233428955078,DNW
2,DNW_Salute,17.36111111111111,392.9095230102539,DNW
2,DNW_HelleN,10.59322033898305,343.0534791946411,DNW
2,DNW_seoul,14.14141414141414,636.9463195800781,DNW
2,TWIS_BatulinS,0.0,0.0,TWIS
2,TWIS_spyrro,0.0,0.0,TWIS
2,TWIS_Perfect1ks,19.35483870967742,174.7836151123047,TWIS
2,TWIS_Lu,12.871287128712872,226.60860443115234,TWIS
2,QM_HoBBitEz,0.0,0.0,QM
2,QM_DaNte,20.0,22.13827133178711,QM
2,QM_F1lfirst,4.225352112676056,67.27953720092773,QM
2,QM_ADOUZ1E,16.25,145.72664642333984,QM
2,TMA_YUPPIE,9.49367088607595,190.76314163208008,TMA
2,TMA_Xiaoha1xxxx,12.056737588652481,434.86572074890137,TMA
2,TMA_CRAZY112,11.926605504587156,398.2544422149658,TMA
2,TMA_LuLualways,8.823529411764707,473.8548812866211,TMA
2,YAHO_Balefrost,11.11111111111111,143.31106567382812,YAHO
2,YAHO_Shinboi,9.375,131.28826904296875,YAHO
2,YAHO_sparkingg,4.761904761904762,100.31846237182617,YAHO
2,YAHO_Poonage,2.631578947368421,67.66215133666992,YAHO
2,TE_777,24.0,99.99999809265137,TE
2,TE_Leviz,3.1746031746031744,58.00568771362305,TE
2,TE_DuCkHjeUz,1.7543859649122806,24.628007888793945,TE
2,TE_Smell,10.714285714285714,162.50437927246094,TE
2,OP_clib,4.25531914893617,52.95769500732422,OP
2,OP_vard,0.0,0.0,OP
2,OP_jeemzz,2.941176470588235,62.03999710083008,OP
2,OP_mxey,2.083333333333333,34.80354309082031,OP
2,FaZe_D1gg3r1,8.791208791208792,171.07999801635742,FaZe
2,FaZe_Aitzy,2.8846153846153846,109.07879638671875,FaZe
2,FaZe_Gustav,9.375,50.800004959106445,FaZe
2,FaZe_Fexx,28.749999999999996,149.20000839233398,FaZe
2,KDF_LashK,3.8461538461538463,73.63112449645996,KDF
2,KDF_EEND,0.0,0.0,KDF
2,KDF_Hikari,6.666666666666667,53.46719741821289,KDF
2,KDF_Akad,4.3478260869565215,100.99447631835938,KDF
3,TWIS_spyrro,5.590062111801243,241.77543258666992,TWIS
3,TWIS_Perfect1ks,6.179775280898876,119.98759841918945,TWIS
3,TWIS_BatulinS,3.2490974729241873,109.64108085632324,TWIS
3,TWIS_Lu,11.44578313253012,267.2850694656372,TWIS
3,eU_Relo,26.08695652173913,120.26544952392578,eU
3,eU_Fludd,15.714285714285714,101.30286407470703,eU
3,eU_Snakers,6.666666666666667,82.40999794006348,eU
3,eU_Kickstart,12.162162162162163,368.2002010345459,eU
3,DAY_Nourinz,16.666666666666664,123.53878974914551,DAY
3,DAY_PuuChiwz,50.0,54.098371505737305,DAY
3,DAY_Flash,11.278195488721805,414.1066064834595,DAY
3,DAY_Belmoth,13.089005235602095,308.3171844482422,DAY
3,17_shou,12.340425531914894,489.7859592437744,17
3,17_xwudd,8.035714285714286,216.35944175720215,17
3,17_Lilghost,15.555555555555555,347.67834663391113,17
3,17_SuJiu,10.81081081081081,355.00447273254395,17
3,DNW_Salute,20.27027027027027,491.5111312866211,DNW
3,DNW_Lambu,0.0,0.0,DNW
3,DNW_seoul,13.861386138613863,317.33664321899414,DNW
3,DNW_HelleN,25.568181818181817,400.9257526397705,DNW
3,OP_clib,15.730337078651685,139.90784645080566,OP
3,OP_vard,19.230769230769234,59.71046257019043,OP
3,OP_jeemzz,0.0,0.0,OP
3,OP_mxey,18.27956989247312,267.8351860046387,OP
3,NAVI_xmpl,30.701754385964914,403.14241313934326,NAVI
3,NAVI_Mell,0.9345794392523363,26.056827545166016,NAVI
3,NAVI_alya,11.403508771929824,323.4745845794678,NAVI
3,NAVI_ubah,11.842105263157894,229.02176475524902,NAVI
3,FaZe_D1gg3r1,27.27272727272727,195.74431228637695,FaZe
3,FaZe_Fexx,21.428571428571427,248.25568962097168,FaZe
