type,id,createdAt,telemetry_url
match,ca01293d-417b-4b62-9263-b9d9f70e1be1,2022-11-01T13:26:20Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/13/55/d117f2b4-59ec-11ed-a4c3-16512f2173af-telemetry.json
match,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json
match,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json
match,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json
match,fd204d75-826f-460a-b4de-60fd029e48dd,2022-11-01T16:21:51Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/53/bc5c3c23-5a05-11ed-a4c3-16512f2173af-telemetry.json
match,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json
match,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json
match,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json
match,953c6b59-e4c4-4cf6-bcb9-6bbc4c527c36,2022-11-02T15:16:26Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/47/a788f014-5ac5-11ed-a4c3-16512f2173af-telemetry.json
match,3b0b5e93-4dba-4308-ab3f-93cf3fa44323,2022-11-02T16:01:11Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/16/33/118e0d43-5acc-11ed-a4c3-16512f2173af-telemetry.json
match,bf0c1269-e928-49ae-a5df-b7600edcce9e,2022-11-03T12:57:25Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/13/30/ad3ab827-5b7b-11ed-a4c3-16512f2173af-telemetry.json
match,968551e2-a227-472d-ac31-83383ef93bf5,2022-11-03T13:37:16Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/10/42ba9f07-5b81-11ed-a4c3-16512f2173af-telemetry.json
match,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json
