team,color
GBL,b
ACE,r
STK,c
SQ,g
PeRo,m
SST,y
PTG,k
TWIS,brown
PLM,gold
NH,lightgreen
NAVI,orange
GEN,hotpink
CES,lightpink
4AM,skyblue
EXO,slategrey
LG,indigo
