team,color
Tian,b
NH,r
DNW,c
SQ,g
GEX,m
HOWL,y
STK,k
PLM,brown
PTG,gold
TWIS,lightgreen
4AM,orange
III,hotpink
DAY,lightpink
FaZe,skyblue
17,slategrey
SST,indigo
