team,color
ACE,b
DNW,r
Tian,c
GEN,g
EXO,m
DAY,y
GBL,k
PeRo,brown
NAVI,gold
HOWL,lightgreen
CES,orange
LG,hotpink
III,lightpink
FaZe,skyblue
GEX,slategrey
17,indigo
