team,color
PLM,b
NH,r
DAY,c
GEX,g
SQ,m
PTG,y
17,k
4AM,brown
Tian,gold
TWIS,lightgreen
HOWL,orange
DNW,hotpink
SST,lightpink
FaZe,skyblue
STK,slategrey
III,indigo
