team,color
Tian,b
III,r
DNW,c
EXO,g
PeRo,m
CES,y
17,k
GEX,brown
NAVI,gold
GBL,lightgreen
DAY,orange
GEN,hotpink
FaZe,lightpink
ACE,skyblue
LG,slategrey
HOWL,indigo
