team,color
III,b
DNW,r
SST,c
HOWL,g
FaZe,m
4AM,y
PTG,k
TWIS,brown
STK,gold
PLM,lightgreen
NH,orange
Tian,hotpink
17,lightpink
GEX,skyblue
SQ,slategrey
DAY,indigo
