team,color
ACE,b
NH,r
GEN,c
CES,g
SQ,m
PTG,y
NAVI,k
PLM,brown
4AM,gold
SST,lightgreen
PeRo,orange
TWIS,hotpink
GBL,lightpink
STK,skyblue
EXO,slategrey
LG,indigo
