team,color
ACE,b
DNW,r
Tian,c
III,g
17,m
GEN,y
CES,k
HOWL,brown
NAVI,gold
PeRo,lightgreen
GBL,orange
GEX,hotpink
DAY,lightpink
LG,skyblue
FaZe,slategrey
EXO,indigo
