team,color
ACE,b
GEN,r
PLM,c
EXO,g
LG,m
PTG,y
TWIS,k
SST,brown
4AM,gold
SQ,lightgreen
PeRo,orange
CES,hotpink
NAVI,lightpink
NH,skyblue
STK,slategrey
GBL,indigo
