team,color
STK,b
DAY,r
GEX,c
HOWL,g
4AM,m
NH,y
FaZe,k
PLM,brown
SQ,gold
17,lightgreen
DNW,orange
SST,hotpink
III,lightpink
Tian,skyblue
TWIS,slategrey
PTG,indigo
