team,color
GBL,b
STK,r
ACE,c
NH,g
SQ,m
PeRo,y
CES,k
PTG,brown
SST,gold
NAVI,lightgreen
TWIS,orange
PLM,hotpink
EXO,lightpink
GEN,skyblue
LG,slategrey
4AM,indigo
