team,color
EXO,b
STK,r
CES,c
PeRo,g
NH,m
SQ,y
ACE,k
SST,brown
GEN,gold
TWIS,lightgreen
4AM,orange
GBL,hotpink
PTG,lightpink
PLM,skyblue
LG,slategrey
NAVI,indigo
