team,color
GEN,b
LG,r
Tian,c
GEX,g
GBL,m
NAVI,y
DAY,k
PeRo,brown
HOWL,gold
CES,lightgreen
17,orange
DNW,hotpink
III,lightpink
FaZe,skyblue
EXO,slategrey
ACE,indigo
