team,color
DAY,b
EXO,r
DNW,c
Tian,g
III,m
HOWL,y
GBL,k
PeRo,brown
FaZe,gold
CES,lightgreen
NAVI,orange
LG,hotpink
GEN,lightpink
ACE,skyblue
GEX,slategrey
17,indigo
