team,color
Tian,b
SST,r
NH,c
DNW,g
HOWL,m
PLM,y
GEX,k
17,brown
STK,gold
SQ,lightgreen
III,orange
4AM,hotpink
FaZe,lightpink
PTG,skyblue
DAY,slategrey
TWIS,indigo
