team,color
PLM,b
ACE,r
LG,c
NH,g
GEN,m
SQ,y
CES,k
NAVI,brown
PTG,gold
4AM,lightgreen
PeRo,orange
TWIS,hotpink
STK,lightpink
EXO,skyblue
SST,slategrey
GBL,indigo
