team,color
PLM,b
SST,r
FaZe,c
GEX,g
PTG,m
NH,y
HOWL,k
SQ,brown
III,gold
4AM,lightgreen
TWIS,orange
DAY,hotpink
Tian,lightpink
DNW,skyblue
STK,slategrey
17,indigo
