attacker_name,Item_Weapon_Molotov_C,match_id,Item_Weapon_SmokeBomb_C,Item_Weapon_Grenade_C,Item_Weapon_FlashBang_C
HOWL_TheMad,,2,,,
HOWL_scof1eld,,2,,,
III_Adam,,2,,,
III_RichyB,,2,,,
III_Vox,,2,,,
III_oldless,,2,,,
LG_Fludd,,2,,,
LG_Kickstart,1.0,2,2.0,2.0,2.0
LG_Relo,1.0,2,,3.0,2.0
LG_Snakers,,2,,3.0,
NAVI_Mell,,2,4.0,1.0,1.0
NAVI_alya,,2,2.0,,1.0
NAVI_ubah,,2,11.0,3.0,
NAVI_xmpl,1.0,2,6.0,2.0,
NH_HSmm,1.0,2,3.0,3.0,
NH_MMing,,2,,1.0,
NH_Nannnnn,,2,3.0,1.0,1.0
NH_ZpYan1,2.0,2,3.0,5.0,3.0
PLM_BORBO4Tz,,2,,3.0,
PLM_Flukky,,2,3.0,,
PLM_ThanawatTH,,2,2.0,,
PLM_Thunderz,,2,,,
PTG_Adder,,2,,,
PTG_Akad,1.0,2,,1.0,
PTG_Hikari,1.0,2,,,
PTG_WICKED,,2,,1.0,
PeRo_AZ,,2,1.0,,
PeRo_Aixleft,,2,,,
PeRo_Cui71,,2,,,
PeRo_Myl,,2,,,
SQ_M1ME,1.0,2,5.0,2.0,1.0
SQ_Shrimzy,1.0,2,8.0,2.0,1.0
SQ_TGLTN,,2,1.0,1.0,1.0
SQ_hwinn,1.0,2,4.0,1.0,2.0
SST_Feaven,,2,,,
SST_Imhac,1.0,2,1.0,1.0,1.0
SST_Runax,,2,,,
SST_Tae9,,2,7.0,1.0,
STK_PurdyKurty,,2,3.0,,
STK_Vegas,,2,4.0,,
STK_alow,,2,3.0,,
STK_penta,,2,2.0,,1.0
TWIS_BatulinS,,2,,,2.0
TWIS_Lu,,2,,,
TWIS_Perfect1ks,,2,,,
TWIS_TheTab,,2,,,
TWIS_spyrro,,2,3.0,,
Tian_77owo,,2,,,
Tian_LinShu,,2,,,
Tian_LongSkr,,2,,,
Tian_PaoPao,,2,,,
17_Lilghost,,3,,,
17_SuJiu,,3,,,
17_Xbei,,3,,,
17_xwudd,,3,,,
4AM_CRAZY112,,3,5.0,3.0,2.0
4AM_Summer,1.0,3,,3.0,
4AM_WangZai,,3,,,
4AM_Xiaohaixxxx,,3,,,
4AM_xxxLu,,3,,1.0,
ACE_ItzzChrizZ,,3,,,
ACE_KILYAKAi,,3,1.0,1.0,2.0
ACE_Myca,,3,,5.0,2.0
ACE_braex,,3,,,
CES_HaiSaki,2.0,3,4.0,1.0,1.0
CES_Himass,1.0,3,3.0,1.0,
CES_Taikonn,,3,3.0,,
CES_YmCud,2.0,3,6.0,,3.0
DAY_Belmoth,,3,,,
DAY_Flash,,3,,,
DAY_Nourinz,,3,,,
DAY_PuuChiwz,,3,,,
DNW_Inonix,,3,,,
DNW_Loki,,3,,,
DNW_Salute,,3,,,
DNW_seoul,,3,,,
EXO_Akita,,3,5.0,2.0,
EXO_Hikerman,,3,,,
EXO_Rain,2.0,3,2.0,3.0,
EXO_empt,1.0,3,1.0,2.0,
EXO_kang,,3,3.0,1.0,1.0
FaZe_Fexx,,3,,,
FaZe_Gustav,,3,,,
FaZe_curexi,,3,,,
FaZe_jeemzz,,3,,,
GBL_Glaz,,3,,,
GBL_Gyumin,1.0,3,5.0,1.0,
GBL_Heaven,,3,1.0,,
GBL_Tosi,1.0,3,1.0,4.0,
GEN_DG98,,3,3.0,1.0,
GEN_Foxy,1.0,3,3.0,,1.0
GEN_Pio,,3,2.0,2.0,
GEN_taemin,,3,6.0,,
GEX_Leo,,3,,,
GEX_Savior,,3,,,
GEX_Yuri,,3,,,
GEX_ZhenNan,,3,,,
HOWL_Apocalyp,,3,,,
HOWL_RuerN,,3,,,
HOWL_TheMad,,3,,,
HOWL_scof1eld,,3,,,
III_Adam,,3,,,
III_RichyB,,3,,,
III_Vox,,3,,,
III_oldless,,3,,,
LG_Fludd,,3,,,
LG_Kickstart,,3,6.0,2.0,
LG_Relo,,3,2.0,1.0,
LG_Snakers,,3,3.0,,
NAVI_Mell,,3,1.0,,
NAVI_alya,,3,7.0,1.0,1.0
NAVI_ubah,3.0,3,2.0,1.0,
NAVI_xmpl,,3,2.0,,
NH_HSmm,,3,4.0,,
NH_MMing,,3,3.0,3.0,1.0
NH_Nannnnn,,3,5.0,2.0,
NH_ZpYan1,,3,11.0,4.0,4.0
PLM_BORBO4Tz,,3,,,
PLM_Flukky,,3,1.0,,
PLM_ThanawatTH,,3,,2.0,
PLM_Thunderz,,3,1.0,,
PTG_Adder,,3,7.0,,6.0
PTG_Akad,,3,2.0,1.0,
PTG_Hikari,,3,2.0,1.0,
PTG_WICKED,,3,1.0,,5.0
PeRo_AZ,,3,2.0,1.0,2.0
PeRo_Aixleft,2.0,3,2.0,2.0,
PeRo_Cui71,,3,2.0,,2.0
PeRo_Myl,,3,1.0,1.0,
SQ_M1ME,1.0,3,3.0,3.0,2.0
SQ_Shrimzy,,3,3.0,1.0,4.0
SQ_TGLTN,2.0,3,3.0,3.0,2.0
SQ_hwinn,,3,3.0,3.0,8.0
SST_Feaven,,3,,,
SST_Imhac,,3,,,
SST_Runax,,3,3.0,,
SST_Tae9,,3,6.0,,
STK_PurdyKurty,1.0,3,3.0,2.0,2.0
STK_Vegas,1.0,3,2.0,4.0,
STK_alow,,3,,,
STK_penta,1.0,3,2.0,,1.0
TWIS_BatulinS,,3,9.0,2.0,
TWIS_Lu,,3,6.0,,
TWIS_Perfect1ks,,3,1.0,,
TWIS_TheTab,,3,,,
TWIS_spyrro,,3,2.0,,
Tian_77owo,,3,,,
Tian_LinShu,,3,,,
Tian_LongSkr,,3,,,
Tian_PaoPao,,3,,,
17_Lilghost,,4,,,
17_SuJiu,,4,,,
17_Xbei,,4,,,
17_xwudd,,4,,,
4AM_CRAZY112,,4,,1.0,
4AM_Summer,,4,,,
4AM_WangZai,,4,,,
4AM_Xiaohaixxxx,,4,,,
4AM_xxxLu,,4,,,
ACE_ItzzChrizZ,,4,,2.0,
ACE_KILYAKAi,,4,,,
ACE_Myca,,4,1.0,3.0,
ACE_braex,2.0,4,,,
CES_HaiSaki,,4,3.0,1.0,
CES_Himass,,4,,2.0,
CES_Taikonn,,4,5.0,1.0,1.0
CES_YmCud,,4,2.0,1.0,
DAY_Belmoth,,4,,,
DAY_Flash,,4,,,
DAY_Nourinz,,4,,,
DAY_PuuChiwz,,4,,,
DNW_Inonix,,4,,,
DNW_Loki,,4,,,
DNW_Salute,,4,,,
DNW_seoul,,4,,,
EXO_Akita,1.0,4,,,
EXO_Hikerman,,4,,,
EXO_Rain,,4,7.0,2.0,1.0
EXO_empt,4.0,4,1.0,3.0,
EXO_kang,,4,2.0,,
FaZe_Fexx,,4,,,
FaZe_Gustav,,4,,,
FaZe_curexi,,4,,,
FaZe_jeemzz,,4,,,
GBL_Glaz,,4,3.0,,
GBL_Gyumin,,4,4.0,1.0,2.0
GBL_Heaven,,4,,,1.0
GBL_Tosi,1.0,4,2.0,,
GEN_DG98,,4,,,
GEN_Foxy,,4,,1.0,
GEN_Pio,,4,,,
GEN_taemin,,4,,1.0,
GEX_Leo,,4,,,
GEX_Savior,,4,,,
GEX_Yuri,,4,,,
GEX_ZhenNan,,4,,,
HOWL_Apocalyp,,4,,,
HOWL_RuerN,,4,,,
HOWL_TheMad,,4,,,
HOWL_scof1eld,,4,,,
III_Adam,,4,,,
III_RichyB,,4,,,
III_Vox,,4,,,
III_oldless,,4,,,
LG_Fludd,,4,1.0,,
LG_Kickstart,,4,1.0,2.0,
LG_Relo,,4,,2.0,
LG_Snakers,,4,1.0,,
NAVI_Mell,,4,,,
NAVI_alya,1.0,4,,,
NAVI_ubah,,4,,,
NAVI_xmpl,,4,1.0,1.0,
NH_HSmm,,4,1.0,,1.0
NH_MMing,,4,2.0,1.0,
NH_Nannnnn,,4,,1.0,
NH_ZpYan1,,4,,,
PLM_BORBO4Tz,,4,,,
PLM_Flukky,,4,,2.0,
PLM_ThanawatTH,,4,,1.0,
PLM_Thunderz,1.0,4,,,2.0
PTG_Adder,,4,,,
PTG_Akad,1.0,4,,,
PTG_Hikari,,4,,2.0,
PTG_WICKED,,4,,2.0,1.0
PeRo_AZ,2.0,4,1.0,4.0,1.0
PeRo_Aixleft,,4,,1.0,
PeRo_Cui71,,4,3.0,3.0,1.0
PeRo_Myl,,4,,,
SQ_M1ME,3.0,4,8.0,5.0,3.0
SQ_Shrimzy,2.0,4,7.0,,1.0
SQ_TGLTN,3.0,4,5.0,1.0,
SQ_hwinn,,4,3.0,,
SST_Feaven,,4,,,
SST_Imhac,,4,3.0,,
SST_Runax,,4,,,
SST_Tae9,,4,,,
STK_PurdyKurty,,4,,,
STK_Vegas,,4,,1.0,
STK_alow,,4,,,
STK_penta,,4,,,
TWIS_BatulinS,,4,,,
TWIS_Lu,,4,2.0,,
TWIS_Perfect1ks,,4,3.0,,
TWIS_TheTab,,4,,,
TWIS_spyrro,,4,2.0,,1.0
Tian_77owo,,4,,,
Tian_LinShu,,4,,,
Tian_LongSkr,,4,,,
Tian_PaoPao,,4,,,
17_Lilghost,,5,,,
17_SuJiu,,5,,,
17_Xbei,,5,,,
17_xwudd,,5,,,
4AM_CRAZY112,,5,4.0,5.0,1.0
4AM_Summer,,5,,,
4AM_WangZai,,5,,,
4AM_Xiaohaixxxx,,5,2.0,3.0,
4AM_xxxLu,,5,3.0,2.0,2.0
ACE_ItzzChrizZ,2.0,5,3.0,,1.0
ACE_KILYAKAi,,5,2.0,1.0,
ACE_Myca,,5,1.0,,
ACE_braex,,5,1.0,3.0,
CES_HaiSaki,,5,1.0,2.0,
CES_Himass,1.0,5,2.0,2.0,1.0
CES_Taikonn,,5,,,
CES_YmCud,1.0,5,3.0,3.0,
DAY_Belmoth,,5,,,
DAY_Flash,,5,,,
DAY_Nourinz,,5,,,
DAY_PuuChiwz,,5,,,
DNW_Inonix,,5,,,
DNW_Loki,,5,,,
DNW_Salute,,5,,,
DNW_seoul,,5,,,
EXO_Akita,,5,6.0,,1.0
EXO_Hikerman,,5,,,
EXO_Rain,1.0,5,3.0,1.0,2.0
EXO_empt,,5,3.0,1.0,2.0
EXO_kang,1.0,5,1.0,1.0,
FaZe_Fexx,,5,,,
FaZe_Gustav,,5,,,
FaZe_curexi,,5,,,
FaZe_jeemzz,,5,,,
GBL_Glaz,,5,,,
GBL_Gyumin,1.0,5,6.0,,1.0
GBL_Heaven,1.0,5,2.0,,2.0
GBL_Tosi,,5,,1.0,
GEN_DG98,,5,,,
GEN_Foxy,,5,,,
GEN_Pio,,5,1.0,1.0,
GEN_taemin,,5,,,
GEX_Leo,,5,,,
GEX_Savior,,5,,,
GEX_Yuri,,5,,,
GEX_ZhenNan,,5,,,
HOWL_Apocalyp,,5,,,
HOWL_RuerN,,5,,,
HOWL_TheMad,,5,,,
HOWL_scof1eld,,5,,,
III_Adam,,5,,,
III_RichyB,,5,,,
III_Vox,,5,,,
III_oldless,,5,,,
LG_Fludd,1.0,5,4.0,1.0,2.0
LG_Kickstart,2.0,5,2.0,2.0,3.0
LG_Relo,1.0,5,3.0,4.0,6.0
LG_Snakers,3.0,5,4.0,5.0,2.0
NAVI_Mell,1.0,5,,2.0,
NAVI_alya,,5,1.0,1.0,4.0
NAVI_ubah,,5,,,
NAVI_xmpl,,5,1.0,,
NH_HSmm,2.0,5,4.0,3.0,2.0
NH_MMing,,5,6.0,2.0,
NH_Nannnnn,,5,2.0,3.0,
NH_ZpYan1,,5,3.0,4.0,2.0
PLM_BORBO4Tz,,5,5.0,1.0,3.0
PLM_Flukky,,5,,,
PLM_ThanawatTH,1.0,5,2.0,4.0,1.0
PLM_Thunderz,,5,1.0,,
PTG_Adder,,5,,,
PTG_Akad,,5,,,
PTG_Hikari,,5,,,
PTG_WICKED,,5,,,
PeRo_AZ,,5,,,
PeRo_Aixleft,2.0,5,7.0,3.0,
PeRo_Cui71,,5,,,
PeRo_Myl,,5,3.0,1.0,
SQ_M1ME,,5,6.0,2.0,1.0
SQ_Shrimzy,1.0,5,5.0,1.0,
SQ_TGLTN,1.0,5,3.0,2.0,
SQ_hwinn,,5,4.0,1.0,
SST_Feaven,2.0,5,2.0,2.0,
SST_Imhac,,5,2.0,1.0,1.0
SST_Runax,,5,1.0,3.0,
SST_Tae9,,5,4.0,3.0,
STK_PurdyKurty,,5,1.0,,1.0
STK_Vegas,,5,5.0,1.0,
STK_alow,,5,5.0,,
STK_penta,,5,3.0,,
TWIS_BatulinS,,5,1.0,,
TWIS_Lu,,5,,,
TWIS_Perfect1ks,,5,,,
TWIS_TheTab,,5,,,
TWIS_spyrro,,5,,,2.0
Tian_77owo,,5,,,
Tian_LinShu,,5,,,
Tian_LongSkr,,5,,,
Tian_PaoPao,,5,,,
17_Lilghost,,6,,,
17_SuJiu,,6,,,
17_Xbei,,6,,,
17_xwudd,,6,,,
4AM_CRAZY112,,6,3.0,1.0,
4AM_Summer,,6,2.0,,
4AM_WangZai,,6,,,
4AM_Xiaohaixxxx,,6,,,
4AM_xxxLu,,6,,,
ACE_ItzzChrizZ,2.0,6,,3.0,2.0
ACE_KILYAKAi,1.0,6,4.0,1.0,2.0
ACE_Myca,1.0,6,3.0,4.0,1.0
ACE_braex,,6,,4.0,
CES_HaiSaki,,6,,,
CES_Himass,1.0,6,3.0,3.0,1.0
CES_Taikonn,1.0,6,6.0,3.0,1.0
CES_YmCud,,6,6.0,1.0,2.0
DAY_Belmoth,,6,,,
DAY_Flash,,6,,,
DAY_Nourinz,,6,,,
DAY_PuuChiwz,,6,,,
DNW_Inonix,,6,,,
DNW_Loki,,6,,,
DNW_Salute,,6,,,
DNW_seoul,,6,,,
EXO_Akita,,6,1.0,,
EXO_Hikerman,,6,,,
EXO_Rain,,6,3.0,,
EXO_empt,,6,,,
EXO_kang,,6,,1.0,
FaZe_Fexx,,6,,,
FaZe_Gustav,,6,,,
FaZe_curexi,,6,,,
FaZe_jeemzz,,6,,,
GBL_Glaz,1.0,6,4.0,5.0,1.0
GBL_Gyumin,1.0,6,5.0,1.0,2.0
